,iptm,iptm,iptm,iptm,ligand_iptm,ligand_iptm,ligand_iptm,ligand_iptm,confidence_score,confidence_score,confidence_score,confidence_score,complex_pde,complex_pde,complex_pde,complex_pde,protein_iptm,protein_iptm,protein_iptm,protein_iptm,mpae_min,mpae_min,mpae_min,mpae_min,mpae_5pct,mpae_5pct,mpae_5pct,mpae_5pct,d_SG,d_SG,d_SG,d_SG,burgi_dunitz_dev,burgi_dunitz_dev,burgi_dunitz_dev,burgi_dunitz_dev,geom_ok,geom_ok,geom_ok,geom_ok,n_h_bonds,n_h_bonds,n_h_bonds,n_h_bonds,n_vdw_contacts,n_vdw_contacts,n_vdw_contacts,n_vdw_contacts,pocket_occupancy_pct,pocket_occupancy_pct,pocket_occupancy_pct,pocket_occupancy_pct,mw,mw,mw,mw,logp,logp,logp,logp,qed,qed,qed,qed,has_acryl,has_acryl,has_acryl,has_acryl,tc_mol1,tc_mol1,tc_mol1,tc_mol1
,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5-1v2_base,300,0.9489325881004333,0.9325146335363388,0.04803145048927169,300,0.9489325881004333,0.9325146335363388,0.04803145048927169,300,0.8255274593830109,0.82173868060112,0.019679000260928465,300,1.2080677151679993,1.183280684351921,0.09984524855659499,300,0.0,0.0,0.0,300,1.0354253053665161,1.3253817226489384,0.7596282792213255,300,1.8139759302139282,2.1612308390935264,0.941868207969428,300,1.806699083974006,1.7418796175201852,0.23549192017482223,300,38.92543636224647,35.82663941758009,18.685057364488642,300,1.0,1.0,0.0,300,3.0,2.9133333333333336,1.2400057539334979,300,20.0,20.13,2.928312948167942,300,92.3076923076923,90.09968884922088,9.29364553486521,300,366.46500000000015,375.3449733333335,56.84420415379998,300,2.8624500000000013,2.9328119000000012,0.8870050133064794,300,0.7434501766556918,0.7148132940529237,0.14966926618726,300,1.0,1.0,0.0,300,0.5060275962236747,0.4706002778362184,0.11682336862878608
P6-POSENOISE_s03,299,0.961636483669281,0.9434413842134253,0.043056443552117914,299,0.961636483669281,0.9434413842134253,0.043056443552117914,299,0.8299999237060547,0.8264222505897981,0.01766389172211629,299,1.1967999935150146,1.1751921922466826,0.09922492545670547,299,0.0,0.0,0.0,299,0.8987622261047363,1.1849187476977856,0.6728434763893364,299,1.6122708320617676,1.9692034075491405,0.8278825382665186,299,1.9191139862446933,1.7884360157474881,0.2256208378641419,299,41.17393703703647,37.672448265765226,18.665399951977474,299,1.0,1.0,0.0,299,3.0,3.0635451505016724,1.4606616159042687,299,19.0,19.2809364548495,2.9012849142520607,299,93.54838709677419,92.20349492461104,7.188860808845347,299,354.41000000000014,360.8882775919734,53.008924827387084,299,2.725900000000001,2.689737658862877,0.8642429367735432,299,0.8163091594034652,0.7673513038416232,0.12245360781485144,299,1.0,1.0,0.0,299,0.5142857142857142,0.48845896626008056,0.10661251618262065
RL_GEOMEAN,300,0.9375032782554626,0.9293416321277619,0.04282996437425125,300,0.9375032782554626,0.9293416321277619,0.04282996437425125,300,0.8247661590576172,0.821801393032074,0.017281397586677603,300,1.1753588914871216,1.1393471995989481,0.12143033550854422,300,0.0,0.0,0.0,300,1.2545852661132812,1.4447325148185095,0.742820111108545,300,2.023161292076111,2.2458324082692465,0.8907787564217984,300,1.9159988363384235,1.7954970191169153,0.2183922675554968,300,40.818895167882545,38.73552129034022,16.95869849120516,300,1.0,1.0,0.0,300,2.0,2.2733333333333334,1.2977813156948967,300,17.0,17.206666666666667,2.2406898921682834,300,95.45454545454545,94.00400503736137,5.651834925283442,300,308.8330000000001,312.36822000000006,38.53927504344778,300,2.6036200000000003,2.598343133333334,0.7659758657703645,300,0.8482127507698695,0.8077537059171974,0.09520178960658429,300,1.0,1.0,0.0,300,0.5074626865671642,0.48931584180226756,0.08419184640781431
mol2mol_baseline,142,0.9312096834182739,0.9207370058751442,0.05314962198947032,142,0.9312096834182739,0.9207370058751442,0.05314962198947032,142,0.8263849318027496,0.8220003394173904,0.02139709965854274,142,1.1678892970085144,1.1357486546039581,0.13297901596990236,142,0.0,0.0,0.0,142,1.2861039638519287,1.5486039414372244,0.8820146262488415,142,2.148714303970337,2.4154130732509453,1.1070206312201394,142,1.8602598796043321,1.7702882529775845,0.21344475242589148,142,37.98331144802664,35.667533995439285,17.643830730146828,142,1.0,1.0,0.0,142,2.0,2.387323943661972,1.2539220260876438,142,19.0,19.119718309859156,2.801930424633178,142,91.83333333333334,89.6846684184504,7.9616197146953125,142,349.95000000000016,350.74817605633814,48.332315683730386,142,2.9657600000000013,3.0580039436619733,0.9319419488274683,142,0.8208652535305809,0.7759070314851148,0.12015183322210632,142,1.0,1.0,0.0,142,0.42857142857142855,0.4476129142142618,0.11041666495663281
